FID;tipo;id;Tipo_1;Fecha;Departamen;Municipio;Vereda;Latitud;Longitud;X;Y;class
748;noevent;id_749;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.325107455;-76.54701983;725469.895;859786.3399;111
749;noevent;id_750;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.328687233;-76.4962208;731121.4724;860168.5481;111
750;noevent;id_751;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.321314462;-76.50068541;730622.8605;859353.7712;111
751;noevent;id_752;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.30396577;-76.53666938;726615.4296;857443.5058;111
752;noevent;id_753;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.309470983;-76.53051361;727301.6891;858051.1267;111
753;noevent;id_754;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.313230751;-76.5285131;727525.2492;858466.7048;111
754;noevent;id_755;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.343222687;-76.50908835;729694.1563;861780.8182;111
755;noevent;id_756;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.297584501;-76.522584;728180.5156;856733.368;111
756;noevent;id_757;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.31583969;-76.5335673;726963.7528;858756.8536;111
757;noevent;id_758;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.325288245;-76.50806177;729803.4441;859795.5946;111
758;noevent;id_759;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.329015511;-76.6389416;715245.5912;860244.9728;111
759;noevent;id_760;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.343393828;-76.5939878;720250.4158;861823.5567;111
760;noevent;id_761;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.154137434;-76.60585203;718878.2294;840878.9857;111
761;noevent;id_762;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.340910704;-76.54422723;725784.9151;861534.676;111
762;noevent;id_763;noevent;6/2/2023 00:00;VALLE DEL CAUCA;CALI;CALI;3.346385889;-76.53723007;726564.7568;862138.7184;111
763;noevent;id_764;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.156199646;-76.54140954;726048.4887;841090.034;111
764;noevent;id_765;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.16269822;-76.53496462;726767.2151;841807.5963;111
765;noevent;id_766;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.157809786;-76.53774667;726456.4203;841267.2791;111
766;noevent;id_767;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.260497632;-76.77888477;699656.3132;852701.5278;111
767;noevent;id_768;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.275172348;-76.76268027;701463.6239;854321.1869;111
768;noevent;id_769;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.255668498;-76.77859037;699687.6354;852166.8505;111
769;noevent;id_770;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.26890351;-76.78029734;699501.6457;853632.4892;111
770;noevent;id_771;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.295085088;-76.76240791;701499.8504;856525.4352;111
771;noevent;id_772;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.281702249;-76.77610498;699971.9173;855048.0636;111
772;noevent;id_773;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.287341249;-76.7721733;700411.0444;855671.1234;111
773;noevent;id_774;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.29509494;-76.76796901;700881.1304;856528.1953;111
774;noevent;id_775;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.291161725;-76.7591217;701864.3017;856090.1373;111
775;noevent;id_776;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.258595451;-76.78825657;698612.9964;852493.7561;111
776;noevent;id_777;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.267490966;-76.76876584;700784.254;853472.6741;111
777;noevent;id_778;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.272503363;-76.784016;699088.9701;854032.1125;111
778;noevent;id_779;noevent;6/2/2023 00:00;VALLE DEL CAUCA;BUENAVENTURA;BUENAVENTURA;3.256077649;-76.77105467;700526.2117;852209.9002;111
779;noevent;id_780;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.170665062;-76.76579682;701086.3333;842753.1957;111
780;noevent;id_781;noevent;6/2/2023 00:00;VALLE DEL CAUCA;JAMUNDI;JAMUNDI;3.161924846;-76.76388421;701296.6469;841785.1066;111
